area;acertos;min;max;media;ano
CN;7;337,9;500;406,55;2015
CN;8;338,9;517,9;419,21;2015
CN;9;339,3;532,8;432,69;2015
CN;10;340,2;545,7;447,07;2015
CN;11;341,0;558,3;462,55;2015
CN;12;344,0;573,6;478,57;2015
CN;13;349,6;581,5;495,32;2015
CN;14;351,1;597,4;512,27;2015
CN;15;356,5;608,1;528,92;2015
CN;16;372,1;620,6;545,13;2015
CN;17;390,5;628,8;560,64;2015
CN;18;420,4;639,4;575,2;2015
CN;19;427,4;646,4;588,39;2015
CN;20;450,4;653,4;600,61;2015
CN;21;516,7;662;612,01;2015
CN;22;541,4;665,3;622,44;2015
CN;23;547,5;676,7;632,06;2015
CN;24;572,0;678,1;641,13;2015
CN;25;595,0;686,6;649,68;2015
CN;26;602,1;695,3;657,72;2015
CN;27;618,3;702,2;665,78;2015
CN;28;623,8;706,9;673,65;2015
CN;29;639,0;723;681,25;2015
CN;30;644,8;727,1;689,13;2015
CN;31;657,3;736,4;696,79;2015
CN;32;663,3;752,5;704,83;2015
CN;33;676,6;758,1;712,93;2015
CN;34;673,5;768,9;721,43;2015
CN;35;689,8;771,6;729,81;2015
CN;36;699,8;782,9;739,21;2015
CN;37;712,4;792,8;749,61;2015
CN;38;723,5;798,6;759,63;2015
CN;39;732,4;830,5;771,86;2015
CN;40;733,4;839,2;783,46;2015
CN;41;755,4;853,8;797,1;2015
CN;42;777,8;861,3;814,52;2015
CN;43;789,7;868,8;833,34;2015
CN;44;830,4;875;857,25;2015
CN;45;875,2;875,2;875,2;2015
LC;0;303,3;305,2;304,24;2015
LC;1;303,3;338,1;310,15;2015
LC;2;303,3;362,1;317,45;2015
LC;3;303,3;382,7;326,52;2015
LC;4;303,6;401,2;335,94;2015
LC;5;304,1;421,4;345,77;2015
LC;6;304,5;438,3;356,57;2015
LC;7;305,0;448,1;368,68;2015
LC;8;305,8;462,3;381,57;2015
LC;9;308,0;471,9;395,16;2015
LC;10;308,0;481,5;409,45;2015
LC;11;312,2;495;423,94;2015
LC;12;315,6;505,1;438,3;2015
LC;13;316,5;514;452,18;2015
LC;14;320,9;521,2;465,44;2015
LC;15;327,3;531,3;477,95;2015
LC;16;336,8;543,3;489,66;2015
LC;17;355,7;551,1;500,57;2015
LC;18;350,0;559,9;510,77;2015
LC;19;367,5;567,6;520,41;2015
LC;20;421,6;574,5;529,54;2015
LC;21;448,3;582;538,25;2015
LC;22;472,8;589,4;546,67;2015
LC;23;478,3;594;554,72;2015
LC;24;500,7;601,7;562,6;2015
LC;25;503,0;609,9;570,25;2015
LC;26;516,9;618,2;577,97;2015
LC;27;525,9;626,6;585,65;2015
LC;28;539,3;632,8;593,38;2015
LC;29;546,7;642,1;601,38;2015
LC;30;548,7;647,9;609,6;2015
LC;31;558,5;656,5;618,2;2015
LC;32;567,8;664,5;627,21;2015
LC;33;576,2;671,2;636,64;2015
LC;34;577,5;680,2;646,81;2015
LC;35;592,3;689,1;657,56;2015
LC;36;600,7;703,5;669,15;2015
LC;37;614,6;713,5;682,12;2015
LC;38;628,3;728,4;695,99;2015
LC;39;644,3;744,9;711,66;2015
LC;40;665,1;768,4;729,14;2015
LC;41;701,7;781,9;747,65;2015
LC;42;712,6;810,7;768,07;2015
LC;43;769,2;825,8;794,96;2015
LC;44;822,3;822,3;822,3;2015
MT;0;311,6;311,6;311,6;2015
MT;1;311,6;353,4;322,02;2015
MT;2;311,6;397,2;329,62;2015
MT;3;311,6;428,4;338,14;2015
MT;4;311,8;457,2;347,76;2015
MT;5;312,1;479,1;358,35;2015
MT;6;312,3;501,4;369,93;2015
MT;7;312,6;523,8;382,43;2015
MT;8;313,2;543,7;395,88;2015
MT;9;313,1;574;410,15;2015
MT;10;314,8;596,6;426,67;2015
MT;11;315,3;615,3;445,21;2015
MT;12;318,0;803,7;465,47;2015
MT;13;319,6;643,8;488,21;2015
MT;14;322,2;658,9;513,34;2015
MT;15;326,4;668,6;540,25;2015
MT;16;330,9;687,7;567,56;2015
MT;17;332,7;695;594,2;2015
MT;18;341,1;706,2;619;2015
MT;19;360,3;724,1;641,02;2015
MT;20;358,2;731,9;660,59;2015
MT;21;430,0;745,3;678,23;2015
MT;22;483,7;756,2;694,29;2015
MT;23;533,2;765;709,44;2015
MT;24;587,6;783,1;723,65;2015
MT;25;634,8;793,9;737,57;2015
MT;26;643,7;800,4;750,98;2015
MT;27;676,4;816,3;764,12;2015
